Name,Age,Date of Birth,Nationality,Team,Position,Debut,Height in feet,Weight in lb,Games,Assists,Goals,Powerplay Goals,Shorthand Goals,Winning Goals,Overtime Goals,Points,Powerplay Points,Shorthand Points,Shots,Shots Percentage,Penalty Minutes,Wins Percentage
Brock Boeser,24,1997,USA,VANCOUVER CANUCKS,RW,2015,6' 1'',208,253,112,98,31,1,12,1,210,68,1,723,13.6,68,37.6
J.T. Miller,28,1993,USA,VANCOUVER CANUCKS,C,2011,6' 1'',218,557,218,137,34,4,30,7,355,99,7,970,14.1,276,52.2
Quinn Hughes,21,1999,USA,VANCOUVER CANUCKS,D,2018,5' 10'',180,129,86,11,3,0,2,1,97,46,0,230,4.8,46,0
Bo Horvat,26,1995,CANADA,VANCOUVER CANUCKS,C,2013,6' 0'',215,502,175,139,43,7,17,4,314,80,8,1100,12.6,148,53
Nils Hoglander,20,2000,SWEDEN,VANCOUVER CANUCKS,LW,2019,5' 9'',185,56,14,13,1,0,1,0,27,1,0,118,11,16,50
Elias Pettersson,22,1998,SWEDEN,VANCOUVER CANUCKS,C,2017,6' 2'',176,165,88,65,22,0,13,2,153,51,1,369,17.6,36,41.7
Tyler Myers,31,1990,USA,VANCOUVER CANUCKS,D,2008,6' 8'',229,758,221,86,19,4,19,4,307,91,11,1286,6.7,568,0
Tanner Pearson,28,1992,CANADA,NOT FOUND,NOT FOUND,NOT FOUND,6' 1'',201,508,115,118,17,3,23,6,233,37,6,1024,11.5,158,40.7
Nate Schmidt,29,1991,USA,VANCOUVER CANUCKS,D,NOT FOUND,6' 0'',194,450,121,34,3,0,4,0,155,26,2,624,5.4,88,0
Nicklas Backstrom,33,1987,SWEDEN,WASHINGTON CAPITALS,C,2006,6' 1'',206,1011,722,258,79,2,38,8,980,396,2,2125,12.1,476,50.3
John Carlson,31,1990,USA,WASHINGTON CAPITALS,D,2008,6' 3'',215,809,407,115,30,1,25,2,522,192,5,1858,11.5,158,20
