Name,Age,Date of Birth,Gender,Country,Debut,Height in m,Weight in kg,Plays,Rank,Tour Rank,Career wins,Singles Played,Singles Won,Singles Lost,Doubles Played,Doubles Won,Doubles Lost,Mixed Played,Mixed Won,Mixed Lost
KIM Gaeun,32,1989,FEMALE,SOUTH KOREA,2012,1.64,NOT FOUND,RIGHT,17,56,149,180,117,63,35,25,10,8,7,1
PRANNOY H. S.,29,1992,MALE,DELHI,2009,1.78,73,NOT FOUND,30,20,201,334,199,135,5,2,3,NOT FOUND,NOT FOUND,NOT FOUND
LIEW Daren,34,1987,MALE,MALAYSIA,2006,1.78,NOT FOUND,RIGHT,35,37,221,396,218,178,7,3,4,NOT FOUND,NOT FOUND,NOT FOUND
Sourabh VERMA,28,1992,MALE,DHAR,2008,1.78,NOT FOUND,NOT FOUND,36,50,203,319,203,116,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
SOONG Joo Ven,26,1995,MALE,MALAYSIA,2010,1.77,65,LEFT,74,48,187,278,178,100,22,9,13,NOT FOUND,NOT FOUND,NOT FOUND
PARUPALLI Kashyap,34,1986,MALE,HYDERABAD,2006,1.73,70,RIGHT,31,32,299,521,299,222,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
WONG Wing Ki Vincent,31,1990,MALE,BRITISH HONGKONG,2006,1.82,74,RIGHT,48,NOT FOUND,226,434,221,213,7,2,5,9,3,6
Toby PENTY,29,1992,MALE,UNITED KINGDOM,2009,1.91,NOT FOUND,LEFT,51,45,203,339,203,136,1,0,1,NOT FOUND,NOT FOUND,NOT FOUND
WANG Zhi Yi,21,2000,FEMALE,CHINA,2016,1.71,65,NOT FOUND,18,NOT FOUND,116,137,114,23,4,2,2,1,0,1
HEO Kwanghee,26,1995,MALE,SOUTH KOREA,2011,1.8,NOT FOUND,RIGHT,34,NOT FOUND,153,223,135,88,16,11,5,9,7,2
LOH Kean Yew,24,1997,MALE,MALAYSIA,2012,1.75,68,NOT FOUND,40,NOT FOUND,135,191,121,70,30,11,19,6,3,3
Saina NEHWAL,31,1990,FEMALE,HISAR,2006,1.65,65,RIGHT,19,14,447,640,440,200,27,5,22,3,2,1
Aya OHORI,24,1996,FEMALE,JAPAN,2011,1.69,59,LEFT,20,34,180,275,173,102,12,7,5,1,0,1
Khosit PHETPRADAB,27,1994,MALE,THAILAND,2008,1.68,65,NOT FOUND,38,30,170,296,167,129,5,1,4,3,2,1
Tanongsak SAENSOMBOONSUK,30,1990,MALE,THAILAND,2006,1.8,70,LEFT,44,NOT FOUND,264,480,261,219,7,3,4,2,0,2
Xiaodong SHENG,23,1998,MALE,CHINA,2018,NOT FOUND,NOT FOUND,NOT FOUND,65,40,58,86,56,30,1,0,1,5,2,3
Gregoria Mariska TUNJUNG,22,1999,FEMALE,INDONESIA,2013,1.64,57,RIGHT,21,NOT FOUND,151,233,151,82,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
ZHAO Jun Peng,25,1996,MALE,CHINA,2013,1.85,NOT FOUND,NOT FOUND,39,NOT FOUND,106,162,106,56,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Jason Anthony HO-SHUE,23,1998,MALE,CANADA,2014,1.78,69,RIGHT,46,58,220,188,113,75,158,95,63,17,12,5
Evgeniya KOSETSKAYA,26,1994,FEMALE,CHELYABINSK,2008,1.76,63,RIGHT,22,56,363,321,182,139,133,87,46,144,94,50
Thomas ROUXEL,30,1991,MALE,FRANCE,2007,1.72,NOT FOUND,RIGHT,41,7,222,391,211,180,22,10,12,3,1,2
Kodai NARAOKA,20,2001,MALE,JAPAN,2014,1.73,69,NOT FOUND,53,NOT FOUND ,114,154,113,41,2,1,1,NOT FOUND,NOT FOUND,NOT FOUND
Yvonne LI,23,1998,FEMALE,GERMANY,2012,1.71,NOT FOUND,RIGHT,23,13,252,304,186,118,75,43,32,36,23,13
Kevin CORDON,34,1986,MALE,GUATEMALA,2006,1.8,68,LEFT,45,NOT FOUND,454,512,397,115,82,56,26,3,1,2
Misha ZILBERMAN,32,1989,MALE,RUSSIA,2006,1.68,62,RIGHT,47,13,324,511,278,233,24,11,13,95,35,60
