Name,Age,Country,Debut,Skill,ODI Matches,ODI Runs,ODI Wickets,ODI Catches,Test Matches,Test Runs,Test Wickets,Test Catches,T20 Matches,T20 Runs,T20 Wickets,T20 Catches
JC Buttler,30,England,2011,WICKETKEEPER BATSMAN,145,3855,0,177,47,2543,0,109,74,1551,0,31
HH Pandya,27,India,2016,ALLROUNDER,57,1167,55,22,11,532,17,7,43,388,38,27
A Zampa,28,Australia,2013,BOWLER,61,128,92,11,0,0,0,0,36,23,39,5
Kuldeep Yadav,25,India,2017,BOWLER,61,118,105,8,6,51,24,3,21,20,39,8
MP Stoinis,31,Australia,2015,ALLROUNDER,45,1106,33,12,0,0,0,0,23,236,9,9
PJ Cummins,27,Australia,2011,BOWLER,69,285,111,16,30,647,143,13,30,48,37,9
TG Southee,31,New zealand,2008,PACE BOWLER,143,679,190,39,75,1690,296,55,74,226,87,38
MA Starc,30,Australia,2010,BOWLER,96,401,184,32,57,1515,244,29,35,24,47,11
HM Amla,37,South Africa,2004,TOP ORDER BATSMAN,181,8113,0,87,124,9282,0,108,44,1277,0,19
CR Brathwaite,32,Westindies,2011,ALLROUNDER,44,559,43,11,3,181,1,0,41,310,31,19
RR Pant,23,India,2017,WICKETKEEPER BATSMAN,16,374,0,8,13,814,0,59,28,410,0,7
UT Khawaja,33,Australia,2011,TOP ORDER BATSMAN,40,1554,0,13,44,2887,0,35,9,241,0,5
